Model,Accuracy,Precision,Recall,F1-Score
Decision Tree,0.9479873360470376,0.9573770491803278,0.9488220958570268,0.9530803753569972
Random Forest,0.9742198100407056,0.9696,0.9845653939886271,0.9770253929866989
SVM,0.9488919041157847,0.9401574803149606,0.9699431356620634,0.9548180727708916
KNN,0.9466304839439168,0.9477071600965407,0.9569455727051178,0.952303961196443
Naive Bayes,0.6006331976481231,0.9971428571428571,0.2835093419983753,0.4414927261227071
