Model,Accuracy,Precision,Recall,F1-Score
Decision Tree,0.962,0.963855421686747,0.96,0.9619238476953907
Random Forest,0.9775,0.9808660624370594,0.974,0.9774209734069242
SVM,0.8665,0.8322756119673618,0.918,0.8730385164051355
KNN,0.883,0.8613207547169811,0.913,0.8864077669902912
Naive Bayes,0.8585,0.9366626065773447,0.769,0.8445908841295992
