Model,Accuracy,Precision,Recall,F1-Score
Decision Tree,0.8854416466826539,0.8344077356970185,0.8542554654200467,0.8442149602554522
Random Forest,0.8861410871302957,0.866343896713615,0.8119070534854943,0.8382426006104052
SVM,0.8663069544364509,0.8505414061308525,0.7668087446720748,0.8065075921908894
KNN,0.877847721822542,0.8363991081382386,0.8252440533479994,0.8307841373105406
Naive Bayes,0.7146782573940847,0.8783914728682171,0.2492781520692974,0.38834743493627505
